Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Microloan Program,"Alaska Department of Commerce, Community, and Economic Development",0,35000,Alaska resident for the 12 months preceding the date of application,"Working capital, equipment, construction, or other commercial purposes",Alaska,www.commerce.alaska.gov,https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/Microloan.aspx,Loan - Microloan,Not specified,(907) 465-2510,99504
Rural Development Initiative Fund,"Alaska Department of Commerce, Community, and Economic Development",0,150000,"New and expanding small firms, located in community of 5,000 or less that is not connected by road or rail to Anchorage or Fairbanks, or with a population of 2,000 or less that is connected by road or rail to Anchorage or Fairbanks","Working capital, equipment, construction, other commercial purposes",Alaska,www.commerce.alaska.gov,https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/RuralDevelopmentInitiativeFund.aspx,Loan - Revolving Loan Fund,Not specified,(907) 465-2510,99504
Small Business Economic Development Loan,"Alaska Department of Commerce, Community, and Economic Development",0,300000,"Small businesses with fewer than 500 employees and communities in Alaska with a population of 30,000 or less","Fixed assets, working capital",Alaska,www.commerce.alaska.gov,https://www.commerce.alaska.gov/web/ded/FIN/LoanPrograms/SmallBusinessDevelopment.aspx,Loan - Revolving Loan Fund,Not specified,(907) 465-2510,99504
Agricultural Revolving Loan Fund - Chattel,"Alaska Department of Natural Resources, Division of Agriculture",0,1000000,"Individuals, partnerships, joint ventures, corporations, or other business entities with current Alaska residency",Equipment or livestock,Alaska,www.dnr.alaska.gov,http://www.dnr.alaska.gov/ag/ag_arlf.htm,Loan - Revolving Loan Fund,Not specified,(907) 745-7200,99504
Agricultural Revolving Loan Fund - Clearing,"Alaska Department of Natural Resources, Division of Agriculture",0,250000,"Individuals, partnerships, joint ventures, corporations, or other business entities with current Alaska residency",Land clearing,Alaska,www.dnr.alaska.gov,http://www.dnr.alaska.gov/ag/ag_arlf.htm,Loan - Revolving Loan Fund,Not specified,(907) 745-7200,99504
Agricultural Revolving Loan Fund - Farm Development,"Alaska Department of Natural Resources, Division of Agriculture",0,1000000,"Individuals, partnerships, joint ventures, corporations, or other business entities with current Alaska residency","Real property acquisition, construction of non-residential improvements for agricultural processes",Alaska,www.dnr.alaska.gov,http://www.dnr.alaska.gov/ag/ag_arlf.htm,Loan - Revolving Loan Fund,Not specified,(907) 745-7200,99504
Agricultural Revolving Loan Fund - Irrigation,"Alaska Department of Natural Resources, Division of Agriculture",0,1000000,"Individuals, partnerships, joint ventures, corporations, or other business entities with current Alaska residency",Irrigation systems,Alaska,www.dnr.alaska.gov,http://www.dnr.alaska.gov/ag/ag_arlf.htm,Loan - Revolving Loan Fund,Not specified,(907) 745-7200,99504
Agricultural Revolving Loan Fund - Product Processing,"Alaska Department of Natural Resources, Division of Agriculture",0,250000,"Individuals, partnerships, joint ventures, corporations, or other business entities with current Alaska residency",Facilities to process Alaska agricultural products,Alaska,www.dnr.alaska.gov,http://www.dnr.alaska.gov/ag/ag_arlf.htm,Loan - Revolving Loan Fund,Not specified,(907) 745-7200,99504
Agricultural Revolving Loan Fund - Short Term,"Alaska Department of Natural Resources, Division of Agriculture",0,200000,"Individuals, partnerships, joint ventures, corporations, or other business entities with current Alaska residency","Annual operating expenses such as seed, feed, fertilizer, harvesting, or planting activities",Alaska,www.dnr.alaska.gov,http://www.dnr.alaska.gov/ag/ag_arlf.htm,Loan - Revolving Loan Fund,Not specified,(907) 745-7200,99504
Industrial Revenue Bonds,Alaska Industrial Development & Export Authority,0,10000000,Manufacturing and processing facilities,"Manufacturing, production, or processing of tangible property, land, building, equipment, used equipment, acquisition of existing manufacturing facility",Alaska,www.aidea.org,http://www.aidea.org/Programs/ConduitRevenueBonds/TaxExemptBonds/IndustrialDevelopmentBonds.aspx,Bond,Not specified,(907) 771-3000,99504
New Market Tax Credit Loan Program,Alaska Industrial Development & Export Authority,0,400000,"For-profit and nonprofit commercial, retail, industrial, mixed-use, and community facilities","Facility expansion, capital equipment purchases, short-term working capital",Alaska,www.aidea.org,http://www.aidea.org/Programs/NewMarketsTaxCredits.aspx,Loan,Not specified,(907) 771-3000,99504
Energy Development Finance Program,Alaska Industrial Development & Export Authority,0,25000000,"Sole proprietorship, cooperative, corporation, firm, partnership, other association of persons organized in any manner","Energy development (heat, electricity, natural gas)",Alaska,www.aidea.org,http://www.aidea.org/Programs/LoanParticipation.aspx,Loan,Not specified,(907) 771-3000,99504
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Alaska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(907) 761-7738,99504
Direct Emergency Farm Loan,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Alaska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(907) 761-7738,99504
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Alaska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(907) 761-7738,99504
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Alaska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(907) 761-7738,99504
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Alaska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(907) 761-7738,99504
Direct Operating Loan,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Alaska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(907) 761-7738,99504
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,,Alaska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(907) 761-7738,99504
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Alaska,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(907) 761-7705,99504
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Alaska,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(907) 761-7705,99504
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Alaska,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(907) 761-7705,99504
ATNI-EDC Loan Program,Affiliated Tribes of Northwest Indians Economic Development Corporation,5000,125000,"Authorized representatives of any Tribe that is a member of ATNI, enterprises owned by the Tribes, businesses owned by Native Americans who are members of ATNI member tribes","Acquisition of land and buildings, furniture, fixtures, equipment, site preparation, clearance, demolition, removal of structures, working capital, buyouts by purchase of assets or stock","Alaska, California, Idaho, Montana, Nevada, Oregon, Washington states; Alaska-Organized Village of Kassan; the Tlingit and Haida Indian and Metlakatla tribes",atniedc.com,https://atniedc.com/rlf/borrower-inquiry/,Loan,"American Indian and Alaska Native, Economically Disadvantaged",(503) 477-8568,99504
ATNI Revolving Loan Fund,Affiliated Tribes of Northwest Indians Financial Services,5000,125000,"Authorized representatives of any Tribe that is a member of ATNI, enterprises owned by the Tribes, businesses owned by Native Americans who are members of ATNI member tribes","Land, buildings, furniture, fixtures, equipment, site preparation, clearance, demolition, removal, working capital, buyouts by purchase of assets or stock","Alaska, California, Idaho, Montana, Nevada, Oregon, Washington states; Alaska-Organized Village of Kassan; the Tlingit and Haida Indian and Metlakatla tribes",atniedc.com,https://atniedc.com/rlf/borrower-inquiry,Loan - Revolving Loan Fund,American Indian and Alaska Native,(503) 477-8568,99504
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Arizona,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(602) 285-6300,85364
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Arizona,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(602) 285-6300,85364
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Arizona,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(602) 285-6300,85364
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Arizona,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(602) 285-6300,85364
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Arizona,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(602) 285-6300,85364
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Arizona,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(602) 285-6300,85364
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Arizona,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(602) 285-6300,85364
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Arizona,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(602) 280-8701,85364
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Arizona,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(602) 280-8701,85364
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Arizona,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(602) 280-8701,85364
Microloan Program,Chicanos Por La Causa,5000,50000,Small for-profit businesses,Contact provider,"Arizona, California, New Mexico, Texas",www.cplc.org,https://www.cplc.org/econ/lending.php,Loan - Microloan,Economically Disadvantaged,(602) 257-0700,85364
Small Business Loan,Chicanos Por La Causa,50000,500000,Small for-profit businesses,Contact provider,"Arizona, California, New Mexico, Texas",www.cplc.org,https://www.cplc.org/econ/lending.php,Loan,Economically Disadvantaged,(602) 257-0700,85364
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Arkansas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(501) 301-3000,72401
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Arkansas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(501) 301-3000,72401
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Arkansas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(501) 301-3000,72401
Direct Operating Loan,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Arkansas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(501) 301-3000,72401
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Arkansas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(501) 301-3000,72401
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Arkansas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan - Microloan,"Minorities, Women",(501) 301-3000,72401
Direct Emergency Farm Loan,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Arkansas,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(501) 301-3000,72401
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Arkansas,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(501) 301-3200,72401
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Arkansas,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(501) 301-3200,72401
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Arkansas,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(501) 301-3200,72401
Bond Guarantee Program,Arkansas Economic Development Commission,0,5000000,"Manufacturing operations, capped at $10 million for tax-exempt bonds",Contact provider,Arkansas,www.arkansasedc.com,https://www.arkansasedc.com/community-resources/financial-resources/bond-programs,Bond,Not specified,(501) 682-1117,72401
Quick Action Loan Fund,Arkansas Economic Development Commission,0,250000,Small businesses and essential service firms that have been impacted by COVID-19,"Working capital, inventory, payroll, uses that facilitate the continuation of business operations",Arkansas,www.arkansasedc.com,https://www.arkansasedc.com/covid19resources/business-resources,COVID-19 Specific Loan,Not specified,(501) 682-1117,72401
Ready for Business Grant Program,Arkansas Economic Development Commission,0,100000,"Corporations, partnerships, sole proprietorships (including independent contractors), LLCs, joint ventures, nonprofits",Expenses related to health and safety of employees and customers,Arkansas,www.arkansasedc.com,https://www.arkansasedc.com/docs/default-source/covid-19/ar-'ready-for-business'-grant-program-overview_050520.pdf?sfvrsn=850f93b_2,COVID-19 Specific Grant,Not specified,(501) 682-1117,72401
GCEDD Business Loan Fund,Gulf Coast Economic Development District (Houston-Galveston Area Council),25000,300000,New or expanding small businesses,"Buildings, equipment, furniture, inventory, closing costs, working capital","Austin, Brazoria, Chambers, Colorado, Fort Bend, Galveston, Harris, Liberty, Matagorda, Montgomery, Walker, Waller, and Wharton counties",hgaldc.com,https://hgaldc.com/business-loan.aspx,Loan,Not specified,(713) 627-3200,77449
Revolving Loan Fund,Berkeley-Charleston-Dorchester Council of Governments,50000,200000,Startups and expanding businesses,"Equipment, land, improvement of real estate and building facilities","Berkeley, Charleston, Dorchester counties",bcdcog.com,https://bcdcog.com/wp-content/uploads/2015/12/FLYER.pdf,Loan - Revolving Loan Fund,Not specified,(843) 529-0400,29483
Pollution Control Industrial Development Bond (IDB) Financing Program,California Pollution Control Financing Authority,0,10000000,Pollution control facilities that also feature a manufacturing component,"Buildings, equipment, machinery, furnishings, land, costs of architects, engineers, attorneys, and permits",California,www.treasurer.ca.gov,https://www.treasurer.ca.gov/cpcfa/cpcfaidb.asp,Bond,Not specified,(916) 657-4337,90011
California Capital Access Program for Small Business,"California Pollution Control Financing Authority (CPCFA), California State Treasurer",0,5000000,"Small businesses that employ fewer than 500 full-time equivalent (FTE) employees, the business purpose is one of the industries listed in the North American Industry Classification System (NAICS) codes list","Land acquisition, construction or renovation of buildings, startup costs, equipment, inventory, capital projects, working capital",California,www.treasurer.ca.gov,https://www.treasurer.ca.gov/cpcfa/calcap/sb/index.asp,Loan,Not specified,(916) 654-5610,90011
Industrial Development Bonds (IDBs)/Manufacturing,"California Public Finance Authority (CalPFA), subdivision of the State of California",0,10000000,"Small to medium-sized manufacturers incurring less than $20 million in capital expenditures 3 years prior to and 3 years following a bond issue, manufacturers seeking less than $10 million for any particular project","Acquisition, rehabilitation, or construction of manufacturing facilities, acquisition of new equipment",California,www.calpfa.org,https://www.calpfa.org/private-activity-programs/industrial-development-bonds-idbs-manufacturing/,Bond,Not specified,(888) 995-0243,90011
501(c)(3) Bond Financing,IBank,0,400000,"Nonprofit corporations, educational facilities, charitable organizations and foundations, recreational facilities, research institutes and centers, organizations that promote social benefits","Capital expenditures, refinancing prior debt (under certain circumstances), reimbursing prior expenditures (under certain conditions), (limited) working capital, costs of issuance, capitalized interest, debt service reserve funds",California,www.ibank.ca.gov,https://www.ibank.ca.gov/bond-financing/,Bond,Not specified,(916) 341-6644,90011
Industrial Development Bond Financing,IBank,0,10000000,Private manufacturing and processing facilities,"Manufacturing, production, or processing of tangible property (including the processing resulting in the change of such property)",California,www.ibank.ca.gov,https://www.ibank.ca.gov/industrial-development-bond-financing/,Bond,Not specified,(916) 341-6600,90011
Infrastructure State Revolving Fund (ISRF) Program,IBank,50000,25000000,"Any subdivision of a local government, including cities, counties, special districts, assessment districts, joint powers authorities, nonprofit corporations (as deemed eligible)","Construction, renovation, and acquisition of lands, structures, real or personal property, rights, rights of way, franchises, licenses, easements, interests acquired or used for a project, demolition, machinery, equipment, working capital",California,www.ibank.ca.gov,https://www.ibank.ca.gov/infrastructure-state-revolving-fund-isrf-program/,Loan - Revolving Loan Fund,Not specified,(916) 341-6600,90011
